ID_Maintenance,Tanggal,ID_Mesin,Jenis_Maintenance,Durasi_Downtime_Menit,Keterangan
TRX-MTC-000163,2026-03-28,MC-010,Inspection,109,Penggantian sparepart rutin
TRX-MTC-000199,2026-03-28,MC-009,Corrective,179,Inspeksi berkala
TRX-MTC-000102,2026-03-28,MC-014,Corrective,124,Inspeksi berkala
TRX-MTC-000007,2026-03-28,MC-012,Preventive,30,Perbaikan mendadak
TRX-MTC-000123,2026-03-28,MC-014,Inspection,24,Pelumasan
TRX-MTC-000071,2026-03-29,MC-002,Corrective,117,Kalibrasi sensor
TRX-MTC-000327,2026-03-29,MC-002,Breakdown,159,Overheat akibat kecepatan tinggi
TRX-MTC-000317,2026-03-29,MC-002,Breakdown,241,Getaran berlebih saat speed >1500rpm
TRX-MTC-000286,2026-03-29,MC-002,Breakdown,176,Getaran berlebih saat speed >1500rpm
TRX-MTC-000243,2026-03-29,MC-012,Inspection,140,Perbaikan mendadak
TRX-MTC-000130,2026-03-30,MC-006,Inspection,39,Inspeksi berkala
TRX-MTC-000129,2026-03-30,MC-003,Corrective,149,Inspeksi berkala
TRX-MTC-000207,2026-03-30,MC-009,Corrective,168,Perbaikan mendadak
TRX-MTC-000228,2026-03-30,MC-010,Preventive,58,Perbaikan mendadak
TRX-MTC-000030,2026-03-30,MC-012,Corrective,30,Penggantian sparepart rutin
TRX-MTC-000066,2026-03-30,MC-008,Preventive,41,Kalibrasi sensor
TRX-MTC-000106,2026-03-30,MC-003,Preventive,147,Penggantian sparepart rutin
TRX-MTC-000298,2026-03-30,MC-002,Breakdown,137,Overheat akibat kecepatan tinggi
TRX-MTC-000371,2026-03-30,MC-002,Breakdown,199,Getaran berlebih saat speed >1500rpm
TRX-MTC-000103,2026-03-31,MC-002,Preventive,123,Pembersihan unit
TRX-MTC-000128,2026-03-31,MC-014,Breakdown,148,Penggantian sparepart rutin
TRX-MTC-000348,2026-03-31,MC-002,Breakdown,297,Overheat akibat kecepatan tinggi
TRX-MTC-000177,2026-03-31,MC-011,Preventive,123,Penggantian sparepart rutin
TRX-MTC-000278,2026-04-01,MC-002,Breakdown,276,Getaran berlebih saat speed >1500rpm
TRX-MTC-000296,2026-04-01,MC-002,Breakdown,164,Overheat akibat kecepatan tinggi
TRX-MTC-000362,2026-04-01,MC-002,Breakdown,185,Komponen press macet (high RPM)
TRX-MTC-000134,2026-04-01,MC-010,Preventive,173,Inspeksi berkala
TRX-MTC-000015,2026-04-01,MC-013,Preventive,115,Pelumasan
TRX-MTC-000114,2026-04-01,MC-013,Inspection,90,Pembersihan unit
TRX-MTC-000141,2026-04-02,MC-004,Breakdown,72,Kalibrasi sensor
TRX-MTC-000145,2026-04-02,MC-002,Inspection,107,Pembersihan unit
TRX-MTC-000181,2026-04-02,MC-010,Preventive,88,Kalibrasi sensor
TRX-MTC-000028,2026-04-02,MC-005,Preventive,59,Pelumasan
TRX-MTC-000175,2026-04-02,MC-002,Breakdown,39,Kalibrasi sensor
TRX-MTC-000212,2026-04-02,MC-014,Inspection,49,Kalibrasi sensor
TRX-MTC-000225,2026-04-02,MC-011,Corrective,137,Pembersihan unit
TRX-MTC-000266,2026-04-02,MC-002,Breakdown,110,Getaran berlebih saat speed >1500rpm
TRX-MTC-000206,2026-04-03,MC-002,Preventive,62,Kalibrasi sensor
TRX-MTC-000250,2026-04-03,MC-006,Preventive,131,Inspeksi berkala
TRX-MTC-000110,2026-04-03,MC-002,Corrective,161,Perbaikan mendadak
TRX-MTC-000334,2026-04-03,MC-002,Breakdown,237,Overheat akibat kecepatan tinggi
TRX-MTC-000168,2026-04-04,MC-005,Inspection,29,Inspeksi berkala
TRX-MTC-000174,2026-04-05,MC-003,Preventive,55,Penggantian sparepart rutin
TRX-MTC-000111,2026-04-05,MC-010,Preventive,119,Pelumasan
TRX-MTC-000264,2026-04-05,MC-002,Breakdown,241,Overheat akibat kecepatan tinggi
TRX-MTC-000082,2026-04-05,MC-012,Inspection,41,Pembersihan unit
TRX-MTC-000190,2026-04-05,MC-009,Preventive,106,Kalibrasi sensor
TRX-MTC-000380,2026-04-05,MC-002,Breakdown,269,Getaran berlebih saat speed >1500rpm
TRX-MTC-000021,2026-04-05,MC-013,Preventive,89,Pelumasan
TRX-MTC-000009,2026-04-05,MC-012,Preventive,80,Penggantian sparepart rutin
TRX-MTC-000236,2026-04-06,MC-012,Preventive,156,Penggantian sparepart rutin
TRX-MTC-000115,2026-04-06,MC-009,Breakdown,176,Penggantian sparepart rutin
TRX-MTC-000027,2026-04-06,MC-004,Inspection,67,Pembersihan unit
TRX-MTC-000368,2026-04-08,MC-002,Breakdown,216,Overheat akibat kecepatan tinggi
TRX-MTC-000125,2026-04-08,MC-008,Corrective,135,Pembersihan unit
TRX-MTC-000022,2026-04-08,MC-011,Preventive,81,Inspeksi berkala
TRX-MTC-000131,2026-04-08,MC-005,Corrective,68,Pembersihan unit
TRX-MTC-000189,2026-04-09,MC-011,Preventive,71,Pembersihan unit
TRX-MTC-000016,2026-04-09,MC-001,Corrective,179,Penggantian sparepart rutin
TRX-MTC-000251,2026-04-09,MC-002,Breakdown,255,Komponen press macet (high RPM)
TRX-MTC-000291,2026-04-09,MC-002,Breakdown,98,Stop mendadak - speed tinggi
TRX-MTC-000166,2026-04-09,MC-005,Preventive,31,Kalibrasi sensor
TRX-MTC-000332,2026-04-09,MC-002,Breakdown,152,Getaran berlebih saat speed >1500rpm
TRX-MTC-000326,2026-04-10,MC-002,Breakdown,277,Getaran berlebih saat speed >1500rpm
TRX-MTC-000180,2026-04-10,MC-008,Preventive,29,Pelumasan
TRX-MTC-000148,2026-04-10,MC-002,Preventive,64,Kalibrasi sensor
TRX-MTC-000058,2026-04-11,MC-001,Breakdown,165,Pembersihan unit
TRX-MTC-000059,2026-04-12,MC-013,Preventive,101,Penggantian sparepart rutin
TRX-MTC-000041,2026-04-12,MC-013,Corrective,29,Kalibrasi sensor
TRX-MTC-000237,2026-04-12,MC-011,Inspection,118,Penggantian sparepart rutin
TRX-MTC-000055,2026-04-12,MC-012,Preventive,128,Perbaikan mendadak
TRX-MTC-000090,2026-04-12,MC-009,Corrective,103,Pembersihan unit
TRX-MTC-000364,2026-04-13,MC-002,Breakdown,149,Komponen press macet (high RPM)
TRX-MTC-000322,2026-04-13,MC-002,Breakdown,172,Komponen press macet (high RPM)
TRX-MTC-000310,2026-04-14,MC-002,Breakdown,260,Getaran berlebih saat speed >1500rpm
TRX-MTC-000176,2026-04-14,MC-003,Corrective,100,Kalibrasi sensor
TRX-MTC-000149,2026-04-14,MC-001,Corrective,116,Pembersihan unit
TRX-MTC-000261,2026-04-14,MC-002,Breakdown,252,Getaran berlebih saat speed >1500rpm
TRX-MTC-000126,2026-04-14,MC-002,Preventive,37,Inspeksi berkala
TRX-MTC-000084,2026-04-14,MC-004,Preventive,129,Perbaikan mendadak
TRX-MTC-000354,2026-04-15,MC-002,Breakdown,151,Overheat akibat kecepatan tinggi
TRX-MTC-000373,2026-04-15,MC-002,Breakdown,151,Komponen press macet (high RPM)
TRX-MTC-000288,2026-04-15,MC-002,Breakdown,236,Komponen press macet (high RPM)
TRX-MTC-000339,2026-04-15,MC-002,Breakdown,230,Stop mendadak - speed tinggi
TRX-MTC-000025,2026-04-15,MC-010,Corrective,173,Perbaikan mendadak
TRX-MTC-000143,2026-04-16,MC-004,Preventive,99,Pembersihan unit
TRX-MTC-000223,2026-04-16,MC-002,Preventive,138,Kalibrasi sensor
TRX-MTC-000312,2026-04-16,MC-002,Breakdown,109,Overheat akibat kecepatan tinggi
TRX-MTC-000321,2026-04-16,MC-002,Breakdown,286,Komponen press macet (high RPM)
TRX-MTC-000159,2026-04-16,MC-011,Corrective,53,Pembersihan unit
TRX-MTC-000350,2026-04-16,MC-002,Breakdown,229,Komponen press macet (high RPM)
TRX-MTC-000014,2026-04-16,MC-003,Breakdown,67,Penggantian sparepart rutin
TRX-MTC-000283,2026-04-16,MC-002,Breakdown,97,Overheat akibat kecepatan tinggi
TRX-MTC-000376,2026-04-17,MC-002,Breakdown,261,Komponen press macet (high RPM)
TRX-MTC-000290,2026-04-18,MC-002,Breakdown,174,Komponen press macet (high RPM)
TRX-MTC-000254,2026-04-18,MC-002,Breakdown,92,Overheat akibat kecepatan tinggi
TRX-MTC-000220,2026-04-19,MC-010,Preventive,138,Pelumasan
TRX-MTC-000182,2026-04-19,MC-003,Preventive,58,Pelumasan
TRX-MTC-000127,2026-04-19,MC-009,Corrective,28,Pelumasan
TRX-MTC-000026,2026-04-19,MC-009,Corrective,139,Perbaikan mendadak
TRX-MTC-000144,2026-04-19,MC-006,Preventive,76,Pembersihan unit
TRX-MTC-000306,2026-04-20,MC-002,Breakdown,148,Komponen press macet (high RPM)
TRX-MTC-000347,2026-04-20,MC-002,Breakdown,147,Komponen press macet (high RPM)
TRX-MTC-000087,2026-04-21,MC-011,Inspection,105,Perbaikan mendadak
TRX-MTC-000227,2026-04-21,MC-005,Corrective,111,Pelumasan
TRX-MTC-000105,2026-04-21,MC-010,Corrective,157,Pelumasan
